Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.06     17.97     0.01    49859     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, long, NgramList::Ngram, NgramList::CompareCount>(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, long, long, NgramList::Ngram, NgramList::CompareCount)
  0.06     17.98     0.01    33240     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::construct<std::pair<std::string const, int> const&>(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::pair<std::string const, int> const&&&)
  0.06     17.99     0.01    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_node(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*)
  0.06     18.00     0.01    33240     0.00     0.00  std::pair<std::string const, int>::pair(std::pair<std::string const, int> const&)
  0.06     18.01     0.01    33240     0.00     0.00  std::pair<std::string const, int>::pair<std::string&, int>(std::string&&&, int&&)
  0.06     18.02     0.01    33240     0.00     0.00  std::pair<std::__decay_and_strip<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false> >::__type, std::__decay_and_strip<bool>::__type> std::make_pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>, bool>(std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>&&, bool&&)
  0.06     18.03     0.01       36     0.00     0.00  std::string* std::__uninitialized_copy<false>::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.06     18.04     0.01       30     0.00     0.01  __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, NgramList::Ngram, NgramList::CompareCount>(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, NgramList::Ngram, NgramList::CompareCount)
  0.06     18.05     0.01        1     0.01    17.97  NgramList::NgramList(int, WordList const&)
  0.06     18.06     0.01        1     0.01     0.02  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_nodes(std::__detail::_Hash_node<std::pair<std::string const, int>, false>**, unsigned long)
  0.03     18.06     0.01   132960     0.00     0.00  bool&& std::forward<bool>(std::identity<bool>::type&&)
  0.03     18.07     0.01   122116     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.03     18.07     0.01    33240     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::operator++(int)
  0.03     18.08     0.01        1     0.01    17.55  void std::sort<__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, NgramList::CompareCount>(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, NgramList::CompareCount)
  0.00     18.08     0.00   939304     0.00     0.00  std::remove_reference<NgramList::Ngram&>::type&& std::move<NgramList::Ngram&>(NgramList::Ngram&&&)
  0.00     18.08     0.00   381392     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00     18.08     0.00   312784     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&)
  0.00     18.08     0.00   199764     0.00     0.00  __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >::base() const
  0.00     18.08     0.00   199649     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00     18.08     0.00   173501     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_Hashtable_iterator_base(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  0.00     18.08     0.00   147267     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00     18.08     0.00   137157     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  0.00     18.08     0.00   131138     0.00     0.00  std::move_iterator<NgramList::Ngram*>::base() const
  0.00     18.08     0.00   131107     0.00     0.00  bool std::operator!=<std::string*, std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00     18.08     0.00   131071     0.00     0.00  std::move_iterator<std::string*>::operator*() const
  0.00     18.08     0.00   131071     0.00     0.00  std::string&& std::forward<std::string>(std::identity<std::string>::type&&)
  0.00     18.08     0.00   119991     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::_Hashtable_iterator(std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  0.00     18.08     0.00   107048     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     18.08     0.00    99696     0.00     0.00  int&& std::forward<int>(std::identity<int>::type&&)
  0.00     18.08     0.00    86761     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::string const&, unsigned long, unsigned long) const
  0.00     18.08     0.00    86749     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(std::string const&) const
  0.00     18.08     0.00    86749     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::operator->() const
  0.00     18.08     0.00    76492     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int>&) const
  0.00     18.08     0.00    76492     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_compare(std::string const&, unsigned long, std::__detail::_Hash_node<std::pair<std::string const, int>, false>*) const
  0.00     18.08     0.00    76492     0.00     0.00  std::equal_to<std::string>::operator()(std::string const&, std::string const&) const
  0.00     18.08     0.00    76492     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     18.08     0.00    68578     0.00     0.00  __gnu_cxx::new_allocator<std::string>::construct(std::string*, std::string const&)
